,Brands,Ton,Star,Type,Condenser_Coil,Refrigerant,Power_Consumption(kWh),Power_Range(kWh),Offer_Price_Range(₹),Offer_Price(₹)
30,Croma,1.0,3,Window,Copper,R22,1382.0,"(1000,1500]","(20000,25000]",22990.0
31,Panasonic,1.0,3,Split Inverter,Copper,R32,1464.0,"(1000,1500]","(30000,35000]",33490.0
32,Samsung,1.0,3,Split,Copper,R32,1472.0,"(1000,1500]","(25000,30000]",29990.0
33,Hitachi,1.0,3,Window,Copper,R32A,1474.0,"(1000,1500]","(20000,25000]",23990.0
34,Thomson,1.0,3,Split,Copper,R32,1510.0,"(1500,2000]","(25000,30000]",26490.0
35,Blue Star,1.0,3,Split,Copper,R33,1528.0,"(1500,2000]","(25000,30000]",28499.0
36,Marq,1.0,3,Split,Copper,R32,1533.0,"(1500,2000]","(20000,25000]",24999.0
37,White Westing House,1.0,3,Split,Copper,R32,1536.0,"(1500,2000]","(30000,35000]",33999.0
38,Haier,1.0,3,Split,Copper,R32,1555.0,"(1500,2000]","(25000,30000]",26990.0
39,Midea,1.0,3,Split,Copper,R32A,1568.0,"(1500,2000]","(25000,30000]",26999.0
40,Carrier,1.0,3,Split,Copper,R32A,1568.0,"(1500,2000]","(25000,30000]",27999.0
41,Whirlpool,1.0,3,Split,Copper,R32A,1568.0,"(1500,2000]","(25000,30000]",28690.0
42,Voltas,1.0,3,Split,Copper,R32,1568.0,"(1500,2000]","(30000,35000]",31990.0
43,Onida,1.0,3,Split Inverter,Copper,R32A,1576.0,"(1500,2000]","(25000,30000]",27490.0
44,Voltas,1.0,3,Split,Copper,R32,1600.0,"(1500,2000]","(30000,35000]",32000.0
45,Voltas,1.0,3,Split,Copper,R22,1602.0,"(1500,2000]","(30000,35000]",30990.0
46,Voltas,1.0,3,Split,Copper,R22A,1603.0,"(1500,2000]","(30000,35000]",33990.0
47,Croma,1.0,3,Split Inverter,Copper,R32,1672.0,"(1500,2000]","(30000,35000]",31890.0
48,Lg,1.0,3,Split Dual Inverter,Copper,R32,1681.0,"(1500,2000]","(30000,35000]",34490.0
49,Samsung,1.0,3,Split Triple Inverter,Copper,R32,1696.0,"(1500,2000]","(30000,35000]",31490.0
50,Blue Star,1.0,3,Split Inverter,Copper,R35,1696.0,"(1500,2000]","(30000,35000]",34490.0
51,Samsung,1.0,3,Split Inverter,Alloy,R32,1696.0,"(1500,2000]","(30000,35000]",34500.0
52,Samsung,1.0,3,Split Inverter,Copper,R410A,1696.0,"(1500,2000]","(35000,40000]",36500.0
53,Samsung,1.0,3,Split Inverter,Aluminium,R32,1696.0,"(1500,2000]","(35000,40000]",39490.0
54,Samsung,1.0,3,Split,Alloy,R32,1696.0,"(1500,2000]","(50000,55000]",50400.0
55,Croma,1.0,3,Split Inverter,Copper,R32,1712.0,"(1500,2000]","(25000,30000]",28990.0
56,Whirlpool,1.0,3,Split Inverter,Copper,R32A,1720.0,"(1500,2000]","(25000,30000]",29490.0
57,Whirlpool,1.0,3,Split Inverter,Copper,R32A,1728.0,"(1500,2000]","(25000,30000]",29490.0
58,Lg,1.0,3,Split Inverter,Copper,R32,1728.0,"(1500,2000]","(30000,35000]",34999.0
59,Lg,1.0,3,Split Dual Inverter,Copper,R32,1728.0,"(1500,2000]","(35000,40000]",36495.0
60,Livpure,1.0,3,Split Inverter Smart,Copper,R32A,1728.0,"(1500,2000]","(35000,40000]",37990.0
61,Blue Star,1.0,3,Window,Copper,R32A,1738.0,"(1500,2000]","(25000,30000]",27099.0
62,Thomson,1.0,3,Split Inverter,Copper,R32,1752.0,"(1500,2000]","(25000,30000]",27799.0
63,Panasonic,1.0,3,Split Inverter,Copper,R32,1752.0,"(1500,2000]","(30000,35000]",32990.0
64,Marq,1.0,3,Split Inverter,Copper,R32,1776.0,"(1500,2000]","(20000,25000]",22490.0
65,Daikin,1.0,3,Split Inverter,Copper,R32,1776.0,"(1500,2000]","(30000,35000]",31445.0
66,Hitachi,1.0,3,Split Inverter,Copper,R410A,1776.0,"(1500,2000]","(30000,35000]",31490.0
67,Daikin,1.0,3,Split Inverter,Copper,R32,1776.0,"(1500,2000]","(35000,40000]",36990.0
68,Lloyd,1.0,3,Window,Copper,R410A,1789.0,"(1500,2000]","(25000,30000]",25900.0
69,Carrier,1.0,3,Window,Copper,R22,1792.0,"(1500,2000]","(20000,25000]",24500.0
70,Carrier,1.0,3,Window,Copper,R32,1792.0,"(1500,2000]","(25000,30000]",29590.0
71,Blue Star,1.0,3,Split Inverter,Copper,R32A,1795.0,"(1500,2000]","(30000,35000]",34500.0
72,Voltas,1.0,3,Split Inverter,Copper,R32A,1808.0,"(1500,2000]","(25000,30000]",29898.0
73,Voltas,1.0,3,Split Inverter,Copper,R32,1808.0,"(1500,2000]","(30000,35000]",33990.0
74,Voltas,1.0,3,Split Inverter,Copper,R32A,1808.0,"(1500,2000]","(30000,35000]",34490.0
75,Whirlpool,1.0,3,Split Inverter,Copper,R32,1824.0,"(1500,2000]","(25000,30000]",29990.0
76,Samsung,1.0,3,Split,Copper,R32,1840.0,"(1500,2000]","(25000,30000]",29990.0
77,Voltas,1.0,3,Split Inverter,Copper,R32,1848.0,"(1500,2000]","(25000,30000]",29990.0
78,Midea,1.0,3,Split Inverter,Copper,R32A,1872.0,"(1500,2000]","(25000,30000]",29999.0
79,Samsung,1.0,3,Split Inverter,Alloy,R32,1888.0,"(1500,2000]","(40000,45000]",41000.0
80,Marq,1.0,3,Split Inverter,Copper,R32,1912.0,"(1500,2000]","(20000,25000]",24990.0
81,Toshiba,1.0,3,Split,Copper,R32,1920.0,"(1500,2000]","(30000,35000]",30500.0
82,Hitachi,1.0,3,Split Inverter,Copper,R32A,1920.0,"(1500,2000]","(30000,35000]",32799.0
83,Toshiba,1.0,3,Split Inverter,Copper,R32,1920.0,"(1500,2000]","(30000,35000]",33490.0
84,Daikin,1.0,3,Split Inverter,Copper,R32A,1920.0,"(1500,2000]","(35000,40000]",36999.0
85,Haier,1.0,3,Split Inverter,Copper,R32,1920.0,"(1500,2000]","(40000,45000]",40431.0
86,Ifb,1.0,3,Split Inverter,Copper,R32A,1936.0,"(1500,2000]","(25000,30000]",29990.0
87,Onida,1.0,3,Split Inverter,Copper,R32A,1952.0,"(1500,2000]","(25000,30000]",25999.0
88,Onida,1.0,3,Split Inverter,Copper,R32A,2048.0,"(2000,2500]","(25000,30000]",26999.0
89,Carrier,1.0,3,Window,Copper,R221,2048.0,"(2000,2500]","(25000,30000]",29590.0
90,Hitachi,1.0,3,Window,Copper,R22,2144.0,"(2000,2500]","(20000,25000]",23999.0
91,Blue Star,1.0,3,Portable,Copper,R410A,2245.0,"(2000,2500]","(35000,40000]",35490.0
92,Gazhal,1.0,3,Split Inverter,Copper,R32,2261.0,"(2000,2500]","(30000,35000]",34499.0
93,Gazhal,1.0,3,Split Inverter,Copper,R32,2261.0,"(2000,2500]","(35000,40000]",35995.0
94,Lloyd,1.0,3,Split,Copper,R32,2312.0,"(2000,2500]","(25000,30000]",29790.0
95,Whirlpool,1.0,3,Split Inverter,Copper,R32A,2400.0,"(2000,2500]","(45000,50000]",47889.0
96,Voltas,1.0,3,Split,Copper,R32,2752.0,"(2500,3000]","(25000,30000]",29990.0
97,Realme,1.0,4,Split Inverter,Copper,R32A,643.0,"(500,1000]","(25000,30000]",27790.0
98,Lg,1.0,4,Split Dual Inverter,Copper,R32A,649.0,"(500,1000]","(30000,35000]",34990.0
99,Whirlpool,1.0,4,Split,Aluminium,R32A,1328.0,"(1000,1500]","(30000,35000]",33500.0
100,Panasonic,1.0,4,Split Inverter,Copper,R32,1464.0,"(1000,1500]","(35000,40000]",37249.0
101,Panasonic,1.0,4,Split Inverter,Copper,R32,1680.0,"(1500,2000]","(35000,40000]",38900.0
102,Panasonic,1.0,4,Split Inverter,Copper,R32,1696.0,"(1500,2000]","(35000,40000]",35836.0
103,Daikin,1.0,4,Split Inverter,Copper,R32,1776.0,"(1500,2000]","(35000,40000]",38000.0
104,Daikin,1.0,4,Split Inverter,Copper,R32A,1832.0,"(1500,2000]","(35000,40000]",37590.0
105,Daikin,1.0,4,Split Inverter,Copper,R32A,1920.0,"(1500,2000]","(30000,35000]",32999.0
106,Daikin,1.0,4,Split Inverter,Copper,R32,1920.0,"(1500,2000]","(30000,35000]",34613.0
107,Lg,1.0,5,Split Dual Inverter,Copper,R32,572.0,"(500,1000]","(35000,40000]",37245.0
108,Lg,1.0,5,Split Dual Inverter,Copper,R32A,572.0,"(500,1000]","(35000,40000]",38350.0
109,Godrej,1.0,5,Split Dual Inverter,Copper,R290A,584.0,"(500,1000]","(30000,35000]",33990.0
110,Hitachi,1.0,5,Split Inverter,Copper,R32A,586.0,"(500,1000]","(35000,40000]",37950.0
111,Panasonic,1.0,5,Split Inverter,Copper,R32,589.0,"(500,1000]","(35000,40000]",35900.0
112,Lg,1.0,5,Window Dual Inverter,Copper,R32,672.0,"(500,1000]","(30000,35000]",31990.0
113,Samsung,1.0,5,Split Inverter,Copper,R32,791.0,"(500,1000]","(40000,45000]",43599.0
114,Whirlpool,1.0,5,Split Inverter,Copper,R32,831.0,"(500,1000]","(30000,35000]",33090.0
115,Panasonic,1.0,5,Split Inverter,Copper,R32,922.0,"(500,1000]","(40000,45000]",40990.0
116,Blue Star,1.0,5,Split Inverter,Copper,R32A,961.0,"(500,1000]","(35000,40000]",35990.0
117,Godrej,1.0,5,Split Inverter,Copper,R32,978.0,"(500,1000]","(30000,35000]",34499.0
118,Samsung,1.0,5,Split Inverter,Copper,R32,1216.0,"(1000,1500]","(35000,40000]",36990.0
119,Hitachi,1.0,5,Window,Copper,R32A,1263.0,"(1000,1500]","(25000,30000]",27490.0
120,Daikin,1.0,5,Split Inverter,Copper,R32,1315.0,"(1000,1500]","(40000,45000]",43990.0
121,Whirlpool,1.0,5,Split Inverter,Copper,R32,1344.0,"(1000,1500]","(30000,35000]",32999.0
122,Panasonic,1.0,5,Split Inverter,Copper,R32A,1408.0,"(1000,1500]","(45000,50000]",48990.0
123,Panasonic,1.0,5,Split Inverter,Copper,R32,1464.0,"(1000,1500]","(40000,45000]",42856.0
124,Whirlpool,1.0,5,Split Inverter,Copper,R32A,1472.0,"(1000,1500]","(30000,35000]",31990.0
125,Samsung,1.0,5,Split Inverter,Aluminium,R32,1472.0,"(1000,1500]","(45000,50000]",46490.0
126,Samsung,1.0,5,Split,Alloy,R32,1472.0,"(1000,1500]","(45000,50000]",50000.0
127,Voltas,1.0,5,Window,Copper,R22,1480.0,"(1000,1500]","(30000,35000]",31999.0
128,Voltas,1.0,5,Split Inverter,Copper,R32,1480.0,"(1000,1500]","(35000,40000]",36990.0
129,Samsung,1.0,5,Split Inverter,Alloy,R32,1488.0,"(1000,1500]","(40000,45000]",43500.0
130,Daikin,1.0,5,Split Inverter,Copper,R32,1504.0,"(1500,2000]","(35000,40000]",36990.0
131,Daikin,1.0,5,Split Inverter,Copper,R32A,1504.0,"(1500,2000]","(35000,40000]",38999.0
132,Daikin,1.0,5,Split Inverter,Copper,R32,1504.0,"(1500,2000]","(40000,45000]",40949.0
133,Daikin,1.0,5,Split Inverter,Copper,R32,1504.0,"(1500,2000]","(45000,50000]",45774.0
134,Croma,1.0,5,Split Inverter,Copper,R32,1528.0,"(1500,2000]","(30000,35000]",33490.0
135,Blue Star,1.0,5,Split Inverter,Copper,R38,1528.0,"(1500,2000]","(35000,40000]",35990.0
136,Hitachi,1.0,5,Split Inverter,Copper,R410A,1544.0,"(1500,2000]","(35000,40000]",39956.0
137,Panasonic,1.0,5,Split Inverter,Copper,R32,1584.0,"(1500,2000]","(35000,40000]",36490.0
138,Daikin,1.0,5,Split Inverter,Copper,R32,1598.0,"(1500,2000]","(35000,40000]",36700.0
139,Panasonic,1.0,5,Split Inverter,Copper,R32,1600.0,"(1500,2000]","(40000,45000]",44990.0
140,Blue Star,1.0,5,Window,Copper,R32A,1624.0,"(1500,2000]","(25000,30000]",27990.0
141,Hitachi,1.0,5,Window,Copper,R32A,1648.0,"(1500,2000]","(25000,30000]",28999.0
142,Toshiba,1.0,5,Split Inverter,Copper,R32,1680.0,"(1500,2000]","(35000,40000]",39000.0
143,Lg,1.0,5,Split Dual Inverter,Copper,R32,1681.0,"(1500,2000]","(35000,40000]",39599.0
144,Marq,1.2,3,Split Inverter,Copper,R32A,842.0,"(500,1000]","(25000,30000]",26499.0
145,Lloyd,1.2,3,Split Inverter,Copper,R32A,918.0,"(500,1000]","(30000,35000]",31499.0
146,Blue Star,1.2,3,Split Inverter,Copper,R32,1482.0,"(1000,1500]","(30000,35000]",31990.0
147,Blue Star,1.2,3,Split,Copper,R32,1810.0,"(1500,2000]","(30000,35000]",34000.0
148,Voltas,1.2,3,Split Inverter,Copper,R32,2288.0,"(2000,2500]","(30000,35000]",30999.0
149,Blue Star,1.2,3,Split Inverter,Copper,R32A,2304.0,"(2000,2500]","(30000,35000]",34990.0
150,Blue Star,1.2,3,Split Inverter,Copper,R32A,2346.0,"(2000,2500]","(35000,40000]",36804.0
151,Blue Star,1.2,3,Split Inverter,Copper,R32,2400.0,"(2000,2500]","(30000,35000]",33490.0
152,Croma,1.2,3,Split Inverter,Copper,R32,2400.0,"(2000,2500]","(30000,35000]",33490.0
153,Lloyd,1.2,5,Split Inverter,Copper,R32A,691.0,"(500,1000]","(35000,40000]",37499.0
154,Carrier,1.2,5,Split Inverter,Copper,R32,1680.0,"(1500,2000]","(35000,40000]",36999.0
155,Carrier,1.2,5,Split Inverter,Copper,R32A,1680.0,"(1500,2000]","(35000,40000]",36999.0
156,Haier,1.25,3,Split Inverter,Copper,R32,2104.0,"(2000,2500]","(25000,30000]",29990.0
157,Croma,1.4,3,Split Inverter,Copper,R32,2600.0,"(2500,3000]","(30000,35000]",31990.0
158,Voltas,1.5,2,Split,Copper,R32A,2320.0,"(2000,2500]","(30000,35000]",30999.0
159,Lloyd,1.5,3,Split Inverter,Copper,R32A,1003.0,"(1000,1500]","(30000,35000]",33999.0
160,Nokia,1.5,3,Split Triple Inverter Smart,Copper,R32,1009.0,"(1000,1500]","(30000,35000]",31990.0
161,Panasonic,1.5,3,Split Inverter,Copper,R32,1016.0,"(1000,1500]","(35000,40000]",35170.0
162,Lg,1.5,3,Split Dual Inverter,Copper,R32A,1016.0,"(1000,1500]","(40000,45000]",43539.0
163,Lloyd,1.5,3,Split Inverter,Copper,R32,1030.0,"(1000,1500]","(35000,40000]",36399.0
164,Voltas,1.5,3,Split Inverter,Copper,R32,1037.0,"(1000,1500]","(35000,40000]",37990.0
165,Voltas,1.5,3,Split Inverter,Copper,R32,1040.0,"(1000,1500]","(35000,40000]",38890.0
166,Godrej,1.5,3,Split Inverter,Copper,R32A,1046.0,"(1000,1500]","(30000,35000]",33990.0
167,Lg,1.5,3,Split Dual Inverter,Copper,R32A,1051.0,"(1000,1500]","(35000,40000]",37944.0
168,Godrej,1.5,3,Split Inverter,Copper,R290A,1056.0,"(1000,1500]","(30000,35000]",32320.0
169,Lloyd,1.5,3,Split,Copper,R32A,1088.0,"(1000,1500]","(30000,35000]",32999.0
170,Haier,1.5,3,Split Inverter,Copper,R32,1089.0,"(1000,1500]","(35000,40000]",35490.0
171,Ifb,1.5,3,Split Inverter,Copper,R32A,1089.0,"(1000,1500]","(35000,40000]",35999.0
172,Hitachi,1.5,3,Split Inverter,Copper,R32A,1098.0,"(1000,1500]","(30000,35000]",34999.0
173,Hitachi,1.5,3,Split Inverter,Copper,R32A,1099.0,"(1000,1500]","(40000,45000]",41990.0
174,Lloyd,1.5,3,Split Expandable,Copper,R32,1119.0,"(1000,1500]","(30000,35000]",32000.0
175,Ifb,1.5,3,Split Inverter,Copper,R32A,1119.0,"(1000,1500]","(35000,40000]",39490.0
176,Blue Star,1.5,3,Split Inverter,Copper,R32A,1127.0,"(1000,1500]","(35000,40000]",38999.0
177,Blue Star,1.5,3,Window,Copper,R32A,1208.0,"(1000,1500]","(25000,30000]",28490.0
178,Lloyd,1.5,3,Window,Copper,R32A,1215.0,"(1000,1500]","(25000,30000]",26999.0
179,Lloyd,1.5,3,Window,Copper,R32,1234.0,"(1000,1500]","(25000,30000]",28490.0
180,Hitachi,1.5,3,Window,Copper,R32A,1277.0,"(1000,1500]","(25000,30000]",29094.0
181,Voltas,1.5,3,Split,Copper,R32,1555.0,"(1500,2000]","(35000,40000]",37599.0
182,Blue Star,1.5,3,Split Inverter,Copper,R32A,1561.0,"(1500,2000]","(35000,40000]",38990.0
183,Carrier,1.5,3,Split,Copper,R22,1573.0,"(1500,2000]","(35000,40000]",39490.0
184,Daikin,1.5,3,Split Inverter,Copper,R32,1598.0,"(1500,2000]","(45000,50000]",46999.0
185,Panasonic,1.5,3,Split,Copper,R32,1625.0,"(1500,2000]","(35000,40000]",35999.0
186,Whirlpool,1.5,3,Split Inverter,Copper,R32,1647.0,"(1500,2000]","(30000,35000]",33490.0
187,Samsung,1.5,3,Split Inverter,Copper,R32,1671.0,"(1500,2000]","(40000,45000]",43598.0
188,Panasonic,1.5,3,Split Inverter Smart,Copper,R32A,1680.0,"(1500,2000]","(35000,40000]",36990.0
189,Lg,1.5,3,Split Dual Inverter,Copper,R32,1681.0,"(1500,2000]","(35000,40000]",39990.0
190,Lg,1.5,3,Split Inverter,Copper,R410A,1684.0,"(1500,2000]","(35000,40000]",36990.0
191,Ifb,1.5,3,Split Dual Inverter,Copper,R32,1741.0,"(1500,2000]","(30000,35000]",32990.0
192,Candy,1.5,3,Split Dual Inverter,Copper,R32A,1743.0,"(1500,2000]","(25000,30000]",28999.0
193,Motorola,1.5,3,Split Dual Inverter Smart,Copper,R32A,1762.0,"(1500,2000]","(30000,35000]",32990.0
194,Daikin,1.5,3,Split,Copper,R32,1765.0,"(1500,2000]","(35000,40000]",37990.0
195,Lloyd,1.5,3,Split,Copper,R32,1784.0,"(1500,2000]","(35000,40000]",35399.0
196,Blue Star,1.5,3,Split,Copper,R32A,1800.0,"(1500,2000]","(35000,40000]",37989.0
197,Godrej,1.5,3,Split Inverter,Copper,R32A,1806.0,"(1500,2000]","(30000,35000]",33399.0
198,Croma,1.5,3,Window,Copper,R32,2004.0,"(2000,2500]","(25000,30000]",27490.0
199,Daikin,1.5,3,Window,Copper,R32,2024.0,"(2000,2500]","(30000,35000]",31100.0
200,Daikin,1.5,3,Split,Copper,R32,2045.0,"(2000,2500]","(40000,45000]",40474.0
201,Hitachi,1.5,3,Window Inverter,Copper,R410A,2046.0,"(2000,2500]","(30000,35000]",32490.0
202,Lg,1.5,3,Split Dual Inverter,Copper,R32A,2121.0,"(2000,2500]","(35000,40000]",36990.0
203,Sansui,1.5,3,Split Dual Inverter,Copper,R32,2163.0,"(2000,2500]","(25000,30000]",28990.0
204,Whirlpool,1.5,3,Split,Copper,R32A,2256.0,"(2000,2500]","(30000,35000]",31690.0
205,Samsung,1.5,3,Split,Copper,R32,2256.0,"(2000,2500]","(30000,35000]",34799.0
206,O General,1.5,3,Window,Copper,R410A,2256.0,"(2000,2500]","(35000,40000]",37799.0
207,Marq,1.5,3,Split,Copper,R32,2259.0,"(2000,2500]","(25000,30000]",27490.0
208,Sansui,1.5,3,Split,Copper,R32,2261.0,"(2000,2500]","(25000,30000]",26490.0
209,Gazhal,1.5,3,Split,Copper,R32,2261.0,"(2000,2500]","(30000,35000]",33749.0
210,Gazhal,1.5,3,Split Inverter,Copper,R32,2261.0,"(2000,2500]","(35000,40000]",35749.0
211,Croma,1.5,3,Split,Copper,R32,2272.0,"(2000,2500]","(30000,35000]",30990.0
212,Lloyd,1.5,3,Split,Copper,R32,2272.0,"(2000,2500]","(30000,35000]",31990.0
213,Lloyd,1.5,3,Split Inverter,Copper,R32,2272.0,"(2000,2500]","(30000,35000]",33490.0
214,Croma,1.5,3,Split,Copper,R32,2288.0,"(2000,2500]","(30000,35000]",32990.0
215,Lloyd,1.5,3,Split Inverter,Copper,R32,2288.0,"(2000,2500]","(35000,40000]",36710.0
216,Lumx,1.5,3,Split,Copper,R32,2304.0,"(2000,2500]","(25000,30000]",28990.0
217,Lloyd,1.5,3,Split Inverter,Copper,R32,2304.0,"(2000,2500]","(35000,40000]",35999.0
218,Midea,1.5,3,Split,Copper,R32A,2312.0,"(2000,2500]","(30000,35000]",31499.0
219,Whirlpool,1.5,3,Split Inverter,Copper,R32A,2320.0,"(2000,2500]","(30000,35000]",32990.0
220,Voltas,1.5,3,Split,Copper,R32,2320.0,"(2000,2500]","(30000,35000]",33999.0
221,Haier,1.5,3,Split,Copper,R32,2322.0,"(2000,2500]","(30000,35000]",33490.0
222,Vg,1.5,3,Split,Copper,R22,2322.0,"(2000,2500]","(30000,35000]",34990.0
223,Haier,1.5,3,Split Inverter,Copper,R32,2322.0,"(2000,2500]","(35000,40000]",38490.0
224,Blue Star,1.5,3,Split Inverter,Copper,R32A,2330.0,"(2000,2500]","(35000,40000]",37790.0
225,Blue Star,1.5,3,Split,Copper,R32A,2330.0,"(2000,2500]","(35000,40000]",37990.0
226,Blue Star,1.5,3,Split,Copper,R32,2330.0,"(2000,2500]","(35000,40000]",38990.0
227,Blue Star,1.5,3,Split,Copper,R32A,2330.0,"(2000,2500]","(40000,45000]",40762.0
228,Voltas,1.5,3,Split,Copper,R22,2333.0,"(2000,2500]","(35000,40000]",36999.0
229,Carrier,1.5,3,Split,Copper,R32A,2360.0,"(2000,2500]","(30000,35000]",31999.0
230,Hitachi,1.5,3,Split Expandable,Copper,R32A,2360.0,"(2000,2500]","(35000,40000]",35999.0
231,Hitachi,1.5,3,Split Inverter,Copper,R32A,2360.0,"(2000,2500]","(35000,40000]",36999.0
232,Haier,1.5,3,Window,Copper,R32,2392.0,"(2000,2500]","(25000,30000]",29962.0
233,Hitachi,1.5,3,Split,Copper,R32A,2392.0,"(2000,2500]","(30000,35000]",33490.0
234,Hitachi,1.5,3,Split,Copper,R32,2392.0,"(2000,2500]","(35000,40000]",39490.0
235,Samsung,1.5,3,Split Inverter,Copper,R32,2496.0,"(2000,2500]","(35000,40000]",39645.0
236,Croma,1.5,3,Split Inverter,Copper,R32,2512.0,"(2500,3000]","(30000,35000]",30990.0
237,Godrej,1.5,3,Split Inverter,Copper,R32,2512.0,"(2500,3000]","(30000,35000]",33399.0
238,Blue Star,1.5,3,Split Inverter,Copper,R37,2512.0,"(2500,3000]","(35000,40000]",38290.0
239,Sansui,1.5,3,Split Triple Inverter,Copper,R32,2536.0,"(2500,3000]","(25000,30000]",29990.0
240,Blue Star,1.5,3,Split Inverter,Copper,R32A,2536.0,"(2500,3000]","(35000,40000]",37500.0
241,Croma,1.5,3,Window,Copper,R32,2544.0,"(2500,3000]","(25000,30000]",27490.0
242,Voltas,1.5,3,Split Inverter,Copper,R32,2544.0,"(2500,3000]","(30000,35000]",34990.0
243,Lumx,1.5,3,Split Inverter,Copper,R32,2560.0,"(2500,3000]","(25000,30000]",28500.0
244,Croma,1.5,3,Window,Copper,R32A,2560.0,"(2500,3000]","(25000,30000]",28890.0
245,Onida,1.5,3,Split Inverter Smart,Copper,R32A,2560.0,"(2500,3000]","(30000,35000]",34999.0
246,Livpure,1.5,3,Split Inverter Smart,Copper,R32,2560.0,"(2500,3000]","(35000,40000]",35990.0
247,Lg,1.5,3,Split Dual Inverter,Copper,R32,2560.0,"(2500,3000]","(35000,40000]",37990.0
248,Blue Star,1.5,3,Split Inverter,Copper,R32,2560.0,"(2500,3000]","(35000,40000]",38990.0
249,Panasonic,1.5,3,Split Inverter,Copper,R32A,2608.0,"(2500,3000]","(40000,45000]",41500.0
250,Voltas,1.5,3,Split Inverter,Copper,R32,2620.0,"(2500,3000]","(30000,35000]",34490.0
251,Voltas,1.5,3,Split Inverter,Copper,R32,2620.0,"(2500,3000]","(35000,40000]",37244.0
252,Thomson,1.5,3,Split Inverter,Copper,R32,2624.0,"(2500,3000]","(30000,35000]",30999.0
253,Voltas,1.5,3,Window,Copper,R22,2638.0,"(2500,3000]","(25000,30000]",28999.0
254,Daikin,1.5,3,Split,Copper,R32,2640.0,"(2500,3000]","(35000,40000]",36999.0
255,Panasonic,1.5,3,Split,Copper,R32,2640.0,"(2500,3000]","(35000,40000]",37480.0
256,Panasonic,1.5,3,Split Inverter,Copper,R32A,2640.0,"(2500,3000]","(40000,45000]",43000.0
